time,binance,okx,spread_bps,elapsed_s,signal
08:58:04,76264.98,76265.3,-0.0,0.12,
08:58:18,76266.32,76271.3,-0.7,0.49,
08:58:34,76266.32,76271.3,-0.7,0.14,
08:58:47,76284.99,76283.5,0.2,0.14,
08:59:04,76292.2,76293.5,-0.2,0.12,
08:59:17,76284.99,76286.8,-0.2,0.33,
08:59:34,76281.58,76278.6,0.4,0.13,
08:59:47,76281.55,76278.6,0.4,0.15,
09:00:04,76239.1,76245.4,-0.8,0.13,
09:00:17,76247.58,76248.9,-0.2,0.13,
09:00:34,76247.59,76247.6,-0.0,0.13,
09:00:47,76262.54,76269.4,-0.9,0.13,
09:01:04,76278.82,76280.0,-0.2,0.24,
09:01:17,76283.23,76288.5,-0.7,0.14,
09:01:34,76311.56,76315.1,-0.5,0.15,
09:01:47,76332.0,76329.0,0.4,0.12,
09:02:04,76360.56,76364.7,-0.5,0.15,
09:02:17,76336.23,76334.4,0.2,0.14,
09:02:34,76312.94,76310.9,0.3,0.14,
09:02:47,76253.37,76250.3,0.4,0.13,
09:03:04,76240.13,76245.0,-0.6,0.12,
09:03:17,76240.0,76237.2,0.4,0.14,
09:03:34,76249.09,76250.0,-0.1,0.14,
09:03:47,76249.09,76253.8,-0.6,0.13,
09:04:04,76244.43,76249.1,-0.6,0.19,
09:04:17,76261.35,76264.5,-0.4,0.13,
09:04:34,76278.45,76281.1,-0.3,0.14,
09:04:47,76245.01,76261.1,-2.1,0.12,
09:05:04,76252.08,76258.4,-0.8,0.13,
09:05:17,76208.54,76205.2,0.4,0.14,
09:06:07,76201.2,76202.8,-0.2,0.25,
09:06:17,76200.0,76201.6,-0.2,0.12,
09:06:34,76206.37,76206.2,0.0,0.13,
09:06:47,76219.99,76221.7,-0.2,0.23,
09:07:04,76216.77,76207.6,1.2,0.14,
09:07:17,76200.0,76189.8,1.3,0.12,
09:07:34,76197.2,76200.5,-0.4,0.14,
09:07:47,76186.11,76190.0,-0.5,0.14,
09:08:04,76198.67,76204.0,-0.7,0.13,
09:08:17,76213.23,76219.3,-0.8,0.13,
09:08:34,76229.72,76229.1,0.1,0.15,
09:08:47,76229.73,76229.1,0.1,0.13,
09:09:04,76232.74,76233.2,-0.1,0.13,
09:09:17,76232.74,76230.9,0.2,0.13,
09:09:34,76229.74,76224.4,0.7,0.13,
09:09:47,76232.74,76228.3,0.6,0.13,
09:10:04,76286.29,76288.8,-0.3,0.13,
09:10:17,76262.77,76259.2,0.5,0.12,
09:10:34,76250.0,76251.4,-0.2,0.11,
09:10:47,76254.8,76259.1,-0.6,0.14,
09:11:04,76250.26,76250.1,0.0,0.13,
09:11:17,76240.03,76244.6,-0.6,0.13,
09:11:34,76220.08,76221.5,-0.2,0.14,
09:11:47,76230.35,76233.3,-0.4,0.14,
09:12:04,76217.15,76215.1,0.3,0.13,
09:12:17,76254.81,76261.1,-0.8,0.23,
09:12:34,76292.61,76293.4,-0.1,0.13,
09:12:47,76284.68,76293.4,-1.1,0.13,
09:13:04,76285.51,76285.0,0.1,0.13,
09:13:18,76252.71,76261.1,-1.1,0.58,
09:13:34,76252.71,76253.7,-0.1,0.13,
09:13:47,76243.41,76250.0,-0.9,0.17,
09:14:04,76219.26,76218.2,0.1,0.13,
09:14:17,76229.21,76231.5,-0.3,0.16,
09:14:34,76243.19,76246.1,-0.4,0.12,
09:14:47,76230.02,76232.5,-0.3,0.14,
09:15:04,76182.29,76200.0,-2.3,0.13,
09:15:17,76178.73,76188.4,-1.3,0.14,
09:15:34,76201.88,76197.6,0.6,0.13,
09:15:48,76202.08,76203.3,-0.2,0.21,
09:16:04,76202.09,76203.0,-0.1,0.14,
09:16:18,76202.08,76202.9,-0.1,0.13,
09:16:34,76217.27,76216.2,0.1,0.13,
09:16:48,76218.66,76212.7,0.8,0.14,
09:17:04,76210.47,76208.8,0.2,0.12,
09:17:18,76214.99,76212.6,0.3,0.13,
09:17:34,76208.91,76207.8,0.1,0.13,
09:17:48,76224.96,76225.0,-0.0,0.12,
09:18:04,76234.19,76237.1,-0.4,0.24,
09:18:18,76220.75,76224.2,-0.5,0.13,
09:18:34,76220.75,76223.5,-0.4,0.12,
09:18:48,76223.78,76229.9,-0.8,0.14,
09:19:04,76216.64,76220.8,-0.5,0.14,
09:19:18,76229.8,76236.5,-0.9,0.14,
09:19:34,76235.12,76235.4,-0.0,0.12,
09:19:48,76235.11,76241.7,-0.9,0.14,
09:20:05,76254.2,76260.2,-0.8,0.13,
09:20:18,76254.99,76263.3,-1.1,0.14,
09:20:35,76254.99,76262.3,-1.0,0.13,
09:20:48,76269.01,76281.5,-1.6,0.13,
09:21:05,76270.0,76273.5,-0.5,0.13,
09:21:18,76246.32,76255.4,-1.2,0.13,
09:21:35,76244.5,76246.1,-0.2,0.14,
09:21:48,76260.99,76266.5,-0.7,0.12,
09:22:05,76244.5,76242.7,0.2,0.13,
09:22:18,76222.65,76222.9,-0.0,0.14,
09:22:35,76205.01,76203.9,0.1,0.13,
09:22:48,76221.5,76223.2,-0.2,0.13,
09:23:05,76208.74,76207.8,0.1,0.14,
09:23:18,76194.44,76200.1,-0.7,0.16,
09:23:35,76207.07,76210.7,-0.5,0.13,
09:23:48,76196.11,76207.8,-1.5,0.13,
09:24:05,76220.64,76225.6,-0.7,0.13,
09:24:18,76220.65,76226.2,-0.7,0.13,
09:24:35,76225.3,76231.2,-0.8,0.15,
09:24:48,76251.78,76250.0,0.2,0.15,
09:25:05,76275.8,76273.5,0.3,0.13,
09:25:18,76275.82,76285.0,-1.2,0.15,
09:25:35,76289.99,76286.7,0.4,0.23,
09:25:48,76289.99,76288.7,0.2,0.52,
09:26:05,76289.99,76288.8,0.2,0.16,
