time,name,price,chg_24h_pct,vol_24h_usdt,high,low,signal
00:15:54,BONK,6.25e-06,1.46,5018084.0,6.3e-06,5.98e-06,
00:15:54,WIF,0.189,7.39,6916435.0,0.191,0.171,
00:15:54,BOME,0.000531,4.73,1306180.0,0.000535,0.000483,
00:15:54,NEIRO,8.927e-05,1.5,3138434.0,9.111e-05,8.45e-05,
00:15:54,PENGU,0.00993,2.07,39667814.0,0.010009,0.009319,
00:16:55,DOGE,0.10685,3.55,188368570.0,0.10841,0.10096,Y
00:16:55,SHIB,6.33e-06,3.6,10109168.0,6.38e-06,6e-06,
00:16:55,PEPE,3.89e-06,1.57,47988192.0,3.95e-06,3.74e-06,
00:16:55,FLOKI,3.253e-05,1.56,3474965.0,3.284e-05,3.109e-05,
00:16:55,BONK,6.24e-06,1.3,5035859.0,6.3e-06,5.98e-06,
00:16:55,WIF,0.189,8.0,6910486.0,0.191,0.171,
00:16:55,BOME,0.00053,4.54,1309213.0,0.000535,0.000483,
00:16:55,NEIRO,8.922e-05,1.49,3130244.0,9.111e-05,8.45e-05,
00:16:55,PENGU,0.009925,2.42,39633228.0,0.010009,0.009319,
00:17:54,DOGE,0.1069,3.7,188113611.0,0.10841,0.10096,Y
00:17:54,SHIB,6.33e-06,3.77,10103392.0,6.38e-06,6e-06,
00:17:54,PEPE,3.9e-06,1.56,47960467.0,3.95e-06,3.74e-06,
00:17:54,FLOKI,3.255e-05,1.56,3473059.0,3.284e-05,3.109e-05,
00:17:54,BONK,6.25e-06,1.63,5037874.0,6.3e-06,5.98e-06,
00:17:54,WIF,0.19,7.96,6912887.0,0.191,0.171,
00:17:54,BOME,0.000531,4.73,1309599.0,0.000535,0.000483,
00:17:54,NEIRO,8.957e-05,1.69,3128581.0,9.111e-05,8.45e-05,
00:17:54,PENGU,0.009941,2.27,39630885.0,0.010009,0.009319,
00:18:54,DOGE,0.10683,3.64,187778621.0,0.10841,0.10096,Y
00:18:54,SHIB,6.33e-06,3.6,10103457.0,6.38e-06,6e-06,
00:18:54,PEPE,3.9e-06,1.56,47920473.0,3.95e-06,3.74e-06,
00:18:54,FLOKI,3.254e-05,1.62,3472069.0,3.284e-05,3.109e-05,
00:18:54,BONK,6.25e-06,1.63,5025526.0,6.3e-06,5.98e-06,
00:18:54,WIF,0.189,8.0,6915850.0,0.191,0.171,
00:18:54,BOME,0.000532,4.93,1320342.0,0.000535,0.000483,
00:18:54,NEIRO,8.935e-05,1.48,3134355.0,9.111e-05,8.45e-05,
00:18:54,PENGU,0.00995,2.4,39652770.0,0.010009,0.009319,
00:19:55,DOGE,0.10675,3.73,187793840.0,0.10841,0.10096,Y
00:19:55,SHIB,6.32e-06,3.61,10103913.0,6.38e-06,6e-06,
00:19:55,PEPE,3.89e-06,1.3,47952170.0,3.95e-06,3.74e-06,
00:19:55,FLOKI,3.249e-05,1.56,3470992.0,3.284e-05,3.109e-05,
00:19:55,BONK,6.24e-06,1.46,5028589.0,6.3e-06,5.98e-06,
00:19:55,WIF,0.189,8.0,6918325.0,0.191,0.171,
00:19:55,BOME,0.000532,5.14,1319661.0,0.000535,0.000483,
00:19:55,NEIRO,8.932e-05,1.56,3135281.0,9.111e-05,8.45e-05,
00:19:55,PENGU,0.009959,2.52,39630616.0,0.010009,0.009319,
00:20:55,DOGE,0.10665,3.75,187531754.0,0.10841,0.10096,Y
00:20:55,SHIB,6.32e-06,3.61,10104426.0,6.38e-06,6e-06,
00:20:55,PEPE,3.88e-06,1.3,47874926.0,3.95e-06,3.74e-06,
00:20:55,FLOKI,3.249e-05,1.69,3469078.0,3.284e-05,3.109e-05,
00:20:55,BONK,6.24e-06,1.46,5021808.0,6.3e-06,5.98e-06,
00:20:55,WIF,0.188,8.05,6887694.0,0.191,0.171,
00:20:55,BOME,0.00053,4.95,1303149.0,0.000535,0.000483,
00:20:55,NEIRO,8.918e-05,1.63,3129654.0,9.111e-05,8.45e-05,
00:20:55,PENGU,0.009961,2.98,39583999.0,0.010009,0.009319,
00:21:54,DOGE,0.10663,3.83,187329352.0,0.10841,0.10096,Y
00:21:54,SHIB,6.32e-06,3.61,10104266.0,6.38e-06,6e-06,
00:21:54,PEPE,3.88e-06,1.04,47848565.0,3.95e-06,3.74e-06,
00:21:54,FLOKI,3.246e-05,1.6,3468680.0,3.284e-05,3.109e-05,
00:21:54,BONK,6.24e-06,1.46,5022343.0,6.3e-06,5.98e-06,
00:21:54,WIF,0.188,7.43,6873080.0,0.191,0.171,
00:21:54,BOME,0.000529,4.75,1307518.0,0.000535,0.000483,
00:21:54,NEIRO,8.919e-05,1.62,3129901.0,9.111e-05,8.45e-05,
00:21:54,PENGU,0.00993,2.81,39541758.0,0.010009,0.009319,
00:22:54,DOGE,0.10668,3.91,187260776.0,0.10841,0.10096,Y
00:22:54,SHIB,6.31e-06,3.44,10096204.0,6.38e-06,6e-06,
00:22:54,PEPE,3.88e-06,1.04,47842679.0,3.95e-06,3.74e-06,
00:22:54,FLOKI,3.246e-05,1.63,3468567.0,3.284e-05,3.109e-05,
00:22:54,BONK,6.24e-06,1.46,5023318.0,6.3e-06,5.98e-06,
00:22:54,WIF,0.188,7.43,6872826.0,0.191,0.171,
00:22:54,BOME,0.000529,4.75,1307553.0,0.000535,0.000483,
00:22:54,NEIRO,8.92e-05,1.66,3130111.0,9.111e-05,8.45e-05,
00:22:54,PENGU,0.009921,2.57,39535597.0,0.010009,0.009319,
00:23:54,DOGE,0.10667,4.03,187031206.0,0.10841,0.10096,Y
00:23:54,SHIB,6.31e-06,3.44,10094192.0,6.38e-06,6e-06,
00:23:54,PEPE,3.88e-06,1.3,47501953.0,3.95e-06,3.74e-06,
00:23:54,FLOKI,3.246e-05,1.75,3467103.0,3.284e-05,3.109e-05,
00:23:54,BONK,6.24e-06,1.63,5024013.0,6.3e-06,5.98e-06,
00:23:54,WIF,0.188,7.43,6859515.0,0.191,0.171,
00:23:54,BOME,0.00053,4.95,1307296.0,0.000535,0.000483,
00:23:54,NEIRO,8.914e-05,1.87,3126002.0,9.111e-05,8.45e-05,
